customer_id,for_month,mrr,last_yr,last_mrr,mobile_experiments_started,experiments_started,allocation,utilization,tickets_created,impressions,impression_revenue,knowledge_base_views,logins,sig_exp_90,brand_ops,running_experiment_days,vertical,segment,country,region,number_of_employees,traffic,annual_revenue,account_potential_score,ae,csm,partner_flag,first_month,last_month,final_row,churn?,days_overdue,collaborators_added,billing_period,age,contract_start_date,retention,churn_dollars,
966001,12/1/2013,0,12/1/2012,4333,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,1/31/2011,12/31/2013,TRUE,Churned,,1,,,,0,-4333,0
996019,8/1/2013,4000,,,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,7/31/2013,8/31/2013,TRUE,Churned,,1,,,,,,
1297002,12/1/2016,1687,12/1/2015,1755,0,0,0,0,0,0,0,0,60,no,,0,Agency/Professional Services,Enterprise,Germany,EMEA,67,"1,000,000","13,179,000",3,1,,no,11/30/2011,12/31/2016,TRUE,Active,0,33,,0,12/19/2015,1,-68,
1475007,4/1/2013,2400,,,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,9/30/2012,4/30/2013,TRUE,Churned,,1,,,,,,
1855068,12/1/2016,399,12/1/2015,399,0,0,0,0,0,0,0,0,0,no,,0,Non-Profit,Corporate,United States,North America,210,"560,000","26,329,000",2,1,,no,1/31/2011,12/31/2016,TRUE,Active,0,4,,,12/6/2015,1,0,
2074011,10/1/2014,399,10/1/2013,399,0,0,0,32731,0,0,0,0,0,,,0,Non-Profit,Corporate,United States,North America,75,"76,792","32,111,000",2,,,no,12/31/2010,10/31/2014,TRUE,Churned,,2,,,,1,0,
2344009,8/1/2015,19,8/1/2014,19,0,0,2000,0,0,0,0,0,0,,,0,,Corporate,United States,North America,,"200,000",,2,1,,no,1/31/2011,8/31/2015,TRUE,Churned,,1,,166,,1,0,
3265010,12/1/2015,367,12/1/2014,367,0,0,50000,0,0,0,0,0,0,,,0,High Tech,Corporate,Austria,EMEA,9,"2,000,000",0,3,1,,no,10/31/2012,12/31/2015,TRUE,Churned,,3,,144,,1,0,
3638077,3/1/2012,2500,3/1/2011,19,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,2/28/2011,3/31/2012,TRUE,Churned,,1,,,,1,0,
3666010,9/1/2012,2625,9/1/2011,5250,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,5/31/2011,9/30/2012,TRUE,Churned,,1,,,,1,-2625,
5676050,6/1/2011,2000,,,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,4/30/2011,6/30/2011,TRUE,Churned,,1,,,,,,
5781089,1/1/2013,2500,,,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,4/30/2012,1/31/2013,TRUE,Churned,,1,,,,,,
6185021,2/1/2012,399,,,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,5/31/2011,2/29/2012,TRUE,Churned,,1,,,,,,
6830010,5/1/2015,19,5/1/2014,19,0,0,50000,0,0,0,0,0,0,,,0,Other,Corporate,United States,North America,,,,0,,,no,6/30/2011,5/31/2015,TRUE,Churned,,1,,,,1,0,
6986089,1/1/2014,2500,1/1/2013,2500,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,6/30/2011,1/31/2014,TRUE,Churned,,1,,,,1,0,
7140276,11/1/2011,18,,,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,9/30/2011,11/30/2011,TRUE,Churned,,1,,,,,,
7470368,5/1/2015,2,5/1/2014,19,0,0,50000,2,0,0,0,0,0,,,1,,Enterprise,Sweden,EMEA,"7,420",,"1,494,000,000",4,1,,no,7/31/2011,5/31/2015,TRUE,Churned,,1,,,,0,-17,
7992003,4/1/2014,4000,4/1/2013,4000,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,10/31/2011,4/30/2014,TRUE,Churned,,1,,,,1,0,
8094158,3/1/2013,2101,3/1/2012,399,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,8/31/2011,3/31/2013,TRUE,Churned,,1,,,,1,0,
8383518,11/1/2015,2500,11/1/2014,2500,0,0,2000000,0,0,1437,2,0,0,,,118,Media,Enterprise,Turkey,EMEA,330,"9,475,249",,4,1,,yes,2/29/2012,11/30/2015,TRUE,Churned,526,9,,488,7/28/2015,1,0,
8389369,12/1/2016,79,12/1/2015,79,0,0,0,0,0,0,0,0,48,yes,,0,Other,Corporate,United States,North America,99,"3,853,891","7,500,000",3,1,,no,9/30/2011,12/31/2016,TRUE,Active,0,15,,,12/9/2015,1,0,
8394220,3/1/2014,79,3/1/2013,79,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,9/30/2011,3/31/2014,TRUE,Churned,,1,,,,1,0,
8399491,6/1/2013,1000,6/1/2012,1000,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,10/31/2011,6/30/2013,TRUE,Churned,,1,,,,1,0,
8571026,7/1/2013,20000,7/1/2012,2500,0,0,0,0,0,0,0,0,0,,,0,,Enterprise,ROW,ROW,,,,,,,no,10/31/2011,7/31/2013,TRUE,Churned,,2,,,,1,0,
8583169,8/1/2012,2320,8/1/2011,2250,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,8/31/2011,8/31/2012,TRUE,Churned,,1,,,,1,0,
8855823,7/1/2014,3013,7/1/2013,0,0,0,0,0,0,0,0,0,0,,,0,Media,Enterprise,United States,North America,"18,000","2,196,444","3,689,000,000",5,,,no,9/30/2012,7/31/2014,TRUE,Churned,,1,,,,,,
9053681,12/1/2013,4000,12/1/2012,0,0,0,0,0,0,0,0,0,0,,,0,,Corporate,ROW,ROW,,,,,,,no,5/31/2012,12/31/2013,TRUE,Churned,,1,,,,,,
