user_id,referrer_type,days_since_purch
8278206,saved_search,22
624150,search,83
8872136,flash_sale,63
8782660,search,79
8148278,Misc,35
3379546,search,19
4298774,obsessions,39
1882914,ymal,59
8978228,search,100
4629382,search,35
8909164,search,65
1538106,flash_sale,17
8306948,saved_search,5
197056,feeds,67
6397594,obsessions,101
9128134,search,57
9181186,browse_search,48
8774600,ymal,32
9025872,obsessions,85
8356498,ymal,29
6697028,search,32
455650,flash_sale,81
8771178,search,33
875230,search,65
8280242,obsessions,47
9089206,flash_sale,69
1811088,search,78
9062776,obsessions,56
9075998,obsessions,60
8623024,Misc,46
8500718,obsessions,87
1825826,ymal,96
6879176,browse_search,6
8980392,search,99
8554984,obsessions,13
1551568,saved_search,40
7902544,Misc,93
9254164,obsessions,20
6681374,ymal,25
6702370,search,25
6068606,ymal,58
8526594,flash_sale,57
2615402,obsessions,99
2530630,search,43
9089890,search,71
7862020,search,35
8778772,carousel,23
9174866,deeplink,51
5518218,search,62
1770886,browse_search,37
3603680,flash_sale,80
7336936,search,4
9223018,search,43
9075948,flash_sale,75
8910114,Misc,74
1031834,obsessions,1
350354,Misc,95
2368336,obsessions,92
453794,search,78
1766540,obsessions,94
7933878,saved_search,73
6396580,search,100
877450,search,77
631366,obsessions,63
1774890,search,32
1812866,flash_sale,12
2262618,flash_sale,94
767668,search,98
2673112,Misc,23
3167904,Misc,62
6571756,flash_sale,30
6421774,flash_sale,82
8278212,Misc,91
9386336,search,7
9365862,obsessions,14
4763384,search,70
2112964,flash_sale,47
5877912,obsessions,76
5238182,saved_search,5
3925762,obsessions,36
953124,search,64
389576,flash_sale,8
9116142,browse_search,38
8244408,search,2
6678570,search,20
9104322,search,54
894064,saved_search,46
8781470,obsessions,51
4233882,obsessions,55
8921126,obsessions,9
6251552,saved_search,53
5619720,search,19
6320678,Misc,14
9244782,ymal,30
6923902,obsessions,67
8351534,search,64
7731068,obsessions,86
1256644,obsessions,93
61194,flash_sale,5
4852714,obsessions,53
713426,carousel,54
8815776,Misc,54
8344616,search,70
1268090,obsessions,35
8184642,obsessions,99
6655392,search,50
9269188,Misc,14
9145572,search,58
3049094,browse_search,65
9426266,browse_search,4
2957088,obsessions,101
1255354,saved_search,71
8252400,search,39
5452282,ymal,73
2389586,search,87
4371324,carousel,22
6237654,search,39
