user,browse_search,carousel,deeplink,feeds,flash_sale,Misc,obsessions,saved_search,search,shop_browse_categories,shop_browse_designers,shop_browse_new_arrivals,shop_browse_sale,ymal
1168,,,,,85,,85,77,10,,,,,
1378,,,,,,,,,39,,,,,
1562,,,,,87,,87,,,,,,,
1860,,,,,,,,,79,,,,,
2024,,,,,,,,79,25,,,,,
2054,,,,,4,,,,23,,,,,
2882,,,,,13,,13,,,,,,,
3186,,,,,,,,,19,,,,,
3334,,,,,,,24,7,,,,,,
3466,,,,,69,99,99,,37,,,,,
3506,,,,,,,43,,,,,,,
3822,,,,,,,,,21,,,,,
3844,,,,,,,,,36,,,,,
4070,,,,,,,,,30,,,,,
4182,45,,,,8,,,37,13,,,,,
4550,,,,,,,68,,96,,,,,
5008,,,,,,,26,,,,,,,
5784,,,,,,,20,,,,,,,
6950,,,,,13,41,13,,,,,,,
7178,,,,,,,38,,,,,,,
7886,,,,,,,25,,,,,,,
9040,,,,,19,,,2,,,,,,
9712,,,,,,,50,,,,,,,
10700,,,,,,,98,,,,,,,
11414,,,,,,,,,71,,,,,
11436,,,,,,,94,22,,,,,,
11728,,,,,11,,1,,,,,,,
12108,,,,,,,50,,,,,,,
12230,,,,,,,79,,,,,,,
13418,,,,,,,,,49,,,,,
15308,,,,,,,,,44,,,,,
16584,,,,,,,2,,,,,,,
16932,4,,,,59,,,11,,,,,,
17094,,,,,,,,,81,,,,,
19424,,,,,,85,85,,,,,,,
20048,25,,,,,,86,,,,,,,51
20658,,,,,,,52,,,,,,,
21066,,,,,7,17,17,,,,,7,,
21234,,,,,,,10,,,,,,,
21768,,,,,8,,,,,,,,,
22648,,24,,,40,,,21,17,,,,,
22698,,,,,74,,,,,,,,,
22710,,,,,,,13,,,,,,,
22760,,,,,4,28,21,20,73,,,,,
23792,,,,,,60,60,,,,,,,
25674,66,,,,67,,66,,78,,,,,
26130,,,,,,47,47,,,,,,,
26234,,,,,,,24,,37,,,,,
26868,,,,,,,96,49,,,,,,
26984,,,,,,16,37,37,16,,,,,
27192,,,,,,,,26,26,,,,,
27976,,,,,,,10,2,26,,,,,
28078,,,,,,,14,,,,,,,
28878,,,,,6,,13,,,,,,,
28960,,,,,,,,14,,,,,,
29300,,,,,,,,,,11,,,,
29712,,,,,56,,56,,,,,,,
29866,,,,,,,32,,,,,,,
30246,,,,,79,34,79,,,,,,,
31096,,,,,7,,,,24,,,,,
32892,,,,,,,61,,,,,,,
34252,,,,,,,29,,,,,,,
36752,,,,,84,,4,4,77,,,,,
38622,,,,,20,,71,,,,,,,
39504,,,,,,,,16,,,,,,
39914,,,,,,22,22,,,,,,,
41370,,,,,93,,,,52,,,,,
41696,,,,,,,53,,10,,,,,
42518,,,,,,,,58,66,,,,,
42736,,34,,,71,,,,,,,,,
42768,,,,34,,34,5,,,,,13,,
43118,,,,,22,,,8,1,,,,,
43948,,44,,,,,,83,15,,,,,
45224,100,,,,99,,,,,,,,,
45312,,,,,75,,,,,,,,,
45986,,,,,40,,,,,,,,,
46472,,,,,35,,50,,35,,,,,
47008,,,,,,94,7,30,9,,,,,
47512,,,,,,,41,,,,,,,
48212,,,,,,,85,,,,,,,
51826,,,,,,,,,40,,,,,
52158,,,,,,,,40,,,,,,
52890,,,,,,,3,,,,,,,
53216,,,,,,,,28,67,,,,,
54390,,,,,,,6,47,31,,,,,
55024,,,,,,,,,101,,,,,
55882,,,,,,,,,16,,,,,
58456,,,,,17,,,,17,,,,,
58880,,,,,54,,,,54,,,,,54
59992,,,,,54,,,,,,,,,
61194,,,,,5,,1,,,,,,,
61590,,,,,,,45,,,,,,,
61642,,,,,,,,21,,,,,,
62534,,,,,,,,,19,,,,,
65076,,,,,,89,14,37,,,,,,
66082,66,,,,,46,66,,66,,,,,66
66784,32,,8,,13,2,2,,2,,,,,
67040,,,,,,,74,,,,,,,
68338,,,,,,63,20,,17,,,,,
68542,,,,,93,,,,,,,,,
69178,,,,,,,57,,,,,,,
71622,,,,,64,,,,54,,,,,
75076,,,,,,68,68,,,,,,,
75936,,,,,,,,,,,,,,31
76326,,,,,,,45,,,,,,,
76380,,,,,19,,19,,,,,,,
78038,,,,,32,38,13,,,,,,,
78548,,,,,,1,1,,,,,,,
78584,,,,,29,,,5,8,,,,,
79100,,,,,,,,,25,,,,,
79178,35,,,,,33,15,,,,,,,
80986,59,,,,15,,,,,,,,,
81078,,,,,,,,,5,,,,,
81932,,,,19,,,31,,,,,,,
82480,,,,,,46,46,,,,,,,
85190,83,,,,,,,,63,,,,,
85492,,,,,19,56,28,,19,,,,,
87748,79,,,,,,,,,,,,,
90388,,,,,15,,6,,,,,,,
93148,,,,,,,62,,,,,,,
95690,,,,,,,49,2,,,,,,
97040,,,,,84,,,24,42,,,,,
97082,,,,,,,16,,,,,,,
97558,,,,,,,,,78,,,,,
99940,,,,,,,13,,,,,,,
100320,,,,,,,,,47,,,,,
101338,,,,,46,,,,17,,,,,
101364,,,,,,,40,,33,,,,,
102692,,,,,,,,26,84,,6,,,
103154,,,,,,,,,66,,,,,
104066,,,,,,,5,,,,,,,
107698,,,,68,,,54,,,,,,,
108036,,,,,,,69,,54,,,,,
109704,,,,,,,,,73,,,,,
110318,,,,,40,,,,11,,,,,
110794,,,,,,54,54,,,,,,,
112726,,,,,,,,,79,,,,,
115052,71,,,,,,,,28,,,,,
117566,,,,,71,,,,,,,,,
118246,,,,,,,101,,,,,,,
118744,,,,,,,9,,,,,,,
119632,,,,,,,8,,69,,,,,39
120516,,,,,,,,,1,,,,,
121344,,,,,,,,,78,,,,,
121908,,,,,,,20,,20,,,,,
122230,,,,,3,,,3,3,,,,,
123336,,,,,,,,,33,,,,,
123392,5,,,,,,,5,,,,,,
123420,,,,,79,,,2,39,,,,,
123518,,,,,,,,,14,,,,,
125184,,,,,,,,,,,,,,59
125210,,,,31,,,,,,,,,,
125378,,,,,,,58,,,,,,,
125768,,,,,,,24,,,,,,,
126580,,,,,,,,9,,,,,,
127024,,,,,,,,33,,,,,,
127200,,,,,,,95,,,,,,,
128878,,,,,,72,,,,,,,,
131436,,,,23,67,6,40,,83,,,,,71
131578,,,,,,76,,,,,,,,
131762,,,,,,,,,16,,,,,
135178,,,,,,,50,,,,,,,
136338,,,,,,,89,18,83,,,,,
137778,,,,,,,47,,,,,,,
138694,,,,,,,10,,,,,,,100
141290,,,,,,,72,22,,,,,,
141430,,,,21,,,,,12,,,,,
142166,,,,,76,,,,,,,,,
144030,,,,,92,,,,98,,,,,
144784,,,,,,,12,12,,,,,,
145810,11,,,,39,,10,,,,,,,
146176,,,,,15,,,,,,,,,
146248,,,,,,,57,,,,,,,
149086,,,,,64,,23,,,,,,,64
150618,,,,,,,,,23,,,,,
151008,,,,,,,60,,,,,,,
151598,,,,,24,,,73,72,,,,,
152882,,,,,34,,20,,,,,,,
153066,,,,40,,,99,,,,,,,
153166,,,,,4,,,,,,,,,
153746,,,,,5,,5,44,,,,,,
153866,,23,,,75,,10,,,,,,,
153976,,,,,,,70,,,,,,,
154132,,,,,,,76,,,,,,,
154174,,,,,64,,,,,,,,,
156780,,,,,13,,,,,,,,,
157168,,,,,61,,,,,,,,,
157902,,,,,,,,,17,,,,,
157958,,,,,,86,86,,,,,,,
159444,,,,,,,7,,,,,,,
160014,,,,,,,28,,,,,,,
161354,,,,,,41,23,,23,,,,,
161470,,,,,,,53,,,,,,,
161612,,,,,,,11,,11,,,,,
162050,,,,,,,,,51,,,,,
162202,,,,,,,26,,,,,,,
162298,,,,,,,42,,,,,,,
163384,,,,,95,,,,51,,,,,
164758,35,,,,,,,,,,,,,
166622,,,,,17,,,,,,,,,
167414,,,,,,50,,,,,,,,
168148,,,,,71,,,,,,,,,
169536,,,,,96,,68,,,,,,,
169548,,,,,,,,6,8,,,,,
169834,,47,,,,,,,16,,,,,
169966,,,,63,,63,,,63,,,,,
171236,39,,,,,,,,,,,,,
171976,,,,,35,,,,,,,,,
173448,,,,,,,35,,,,,,,
174420,,,,,44,,,,,,,,,47
175668,,,,,22,53,,,11,,,,,
180024,,,,,,,35,,,,,,,
180032,,,,,15,,29,,,,,,,
180154,,,,,,,,,42,,,,,
182278,,,,,,,,,,16,,,,
183204,,,,,,,13,,,,,,,
185764,18,,,,,,,,,,,,,
186408,,,,,,,,73,6,,,,,
186668,,,,,,,,28,,,,,,
187748,,,,,,,,,3,,,,,
188052,,,,,9,,,,,,,,,
188564,,,,,,,,,25,,,,,
189430,,,,,,,,3,,,,,,
189848,,,,,29,52,2,,2,,,,,
190340,,,,,,,54,,,,,,,
192482,,,,,36,,,,,,,,,36
193452,36,,,,101,,,,,,,,,
194650,,,,,,,76,,76,,,,,
195266,,,,,57,,,,10,,,,,
195724,,,,,,,,,8,,,,,
196772,,,,,,,57,,,,,,,
196840,,,,,,,,,,,,,,19
197056,65,,,4,8,,8,,3,,,,,
198804,,,,,,,1,,,,,,,
199240,,,,,72,,,,,,,,,
199442,,,,,57,,,,,,,,,
201224,,,,,,,,,,,,,,29
201360,,,,,12,13,2,2,31,,,,,
203516,,,,,22,,22,,,,,,,
204602,,,,,22,4,4,,28,,,,,
204892,,,,,71,,,,100,,,,,100
207832,,,,,,,,,48,,,,,
208148,,,,,,43,39,,39,,,,,
208252,,,,,93,,,,,,,,,
208950,,,,,,,2,,,,,,,
211344,,,,,56,,,,,,,,,
212500,,,,,,,,12,,,,,,
213266,,,,,,,15,,54,,,,,
213598,,,,,,,,36,,,,,,
213862,,,,,,,20,,,,,,,
214960,,17,,,,,,,,,,,,
215060,,,,,,,,,12,,,,,
215746,,,,,,,,,96,,,,,
215946,,,,,,,12,,,,,,,
217432,,,,13,,,,,,,,,,
219184,,,,,29,,2,,,,,,,
220166,,,,,,,,,10,,,,,
220414,,,,,,,62,,,,,,,
220692,,,,,,,,,77,,,,,
220802,,,,,,,82,,,,,,,
221018,,,,,,,7,,,,,,,
221786,,,,,88,,71,,,,,,,
221958,,,,,,,9,,,,,,,
221966,,,,,,35,53,,,,,,,
222560,,,,,,,2,54,2,,,,,
223618,,,,,,,9,,,,,,,
225366,,,,,,,,,2,,,,,
228470,,,,,,,1,12,8,,,,,
229960,,,,,,,,,67,,,,,
230682,,,,12,,,,,65,,,,,
231316,,,,,,,47,,,,,,,
233324,,,,,,,,76,,,,,,
233678,,,,,,,,,63,,,,,
234678,,,,,,,,,9,,,,,
235084,,,,,8,,,,39,,,,,
235122,,,,,,,,,92,,,,,
236676,,,,,,,37,,,,,,,
236778,,,,,11,,,,4,,,,,
238016,,,,,,25,,,,,,,,
239474,,,,1,,1,1,,59,,,,,
240060,,,,,,,,,56,,,,,
241388,,,,,,,53,,,,,,,
242026,,,,,,8,8,,,,,,,
244374,,,,,,,73,,,,,,,
244810,,,,,2,29,2,,46,,,,,
245246,,,,,,,93,,,,,,,
245560,,,,,23,,,,,,,,,
247242,,,,,2,,,47,66,,,,,
247788,,,,31,,,,,,,,,,
248852,,,,,,3,49,,3,,,,,99
249174,,,,,,,80,80,,,,,,
250778,,,,,,,,,73,,,,,
251588,,,,,,,43,,7,,,,,
251652,,,,,,51,30,,12,,,,,
251766,75,,,,,,,,,,,,,
252514,71,,,,,,,,,,,,,
252792,,,,,,,,11,,,,,,
256668,,,,,,,11,,,,,,,
257950,,,,,,,,,41,,,,,
260234,,,,,,,31,,,,,,,
260506,,,,55,,55,,,,,,,,
260766,,,,,,,3,,,,,,,
262228,,,,,,1,1,,,,,,,
262456,,,,,,,,,14,,,,,
264180,,,,,,,52,,,,,,,
265948,,,,,,,,16,16,,,,,
267706,,,,,,,13,,1,,,,,
268424,,,,,82,,68,,55,,,,,
268448,,,,,,,6,,,,,,,
269260,,,,,,,37,,,,,,,
269336,,,,62,,,,,,,,,,
269588,85,,,,,,85,,,,,,,
269596,,,,,,,,,100,,,,,
269670,,,,,77,,,,,,,,,
269876,,,,,92,91,90,,98,,,,,
270214,,,,,18,,,,,,,,,
270450,,,,,,,,44,20,,,,,
271306,,,,,,,15,,,,,,,
271644,,,,,,,,72,,,,,,
273668,,,,,,,,,23,,,,,
275256,76,,,,,,,,,,,,,
276860,,,,,,,5,48,61,,,,,
277428,,,47,,,,,,,,,,,
277500,,,,,,,,,9,,,,,
277860,,,,,,,,,1,,,,,
277904,,,,,53,,,,101,,,,,
278316,,,,,35,,1,3,88,,,,,
278382,,,,,,,1,,,,,,,
278756,,,,,41,29,19,,54,,,,,
279078,,,,,72,,,,,,,,,
279160,,,,,,76,76,,,,,,,
280036,,,,,,,76,,,,,,,
280088,,,,,,,,41,,,,,,
281564,,,,,,,98,,,,,,,
281734,,,,,24,,19,,8,,,,,
283952,,,,59,,,16,,,,,,,
284464,36,,,9,21,,18,,22,,,,,
284682,,,,,,,,,37,,,,,
284892,,,,,,,17,,,,,,,
285018,,,,,,,,,28,,,,,
285320,,,,,70,,17,,27,,,,,
285640,99,,,,,,,,,,,,,
286266,,,,,,,,,25,,,,,
286530,,,,,37,56,40,51,51,,,,,
288152,,,,,,,,,17,,,,,
288178,,,,,,,31,,,,,,,
288226,,,,,,,,58,47,,,,,
289420,,,,,,,,,46,,,,,
290162,,,,,,,64,,,,,,,
291140,,,,,,,,47,73,,,,,
291454,,,,,5,,,,,,,,,
293384,,,,,,30,10,,,,,,,
293940,,,,,,,15,,,,,,,
293996,,,,,,,,,62,,,,,
295028,,,,,,25,25,,,,,,,
295424,,,,,,,,6,,,,,,34
296086,,,,,,,,,14,,,,,
298678,,,,,,,94,,,,,,,
299886,,,,,,,76,,,,,,,
301928,,,,,,,,,5,,,,,
302480,,,,,72,,,72,7,,,,,
302700,,,,,,,15,,15,,,,,
303106,,,,,,,2,,,,,,,
303608,,,,,,,70,,,,,,,
303864,,,,,23,,,,19,,,,,
304396,,,,,,,26,,,,,,,
305108,,,,,78,,17,,,,,,,
306620,,,,,,5,12,,,,,,,
307108,,,,,,70,13,,,,,,,
307544,,,,,,,,12,93,,,,,
310084,,,,,24,,,,,,,,,
310840,62,,,,,,6,,,,,,,
313042,,,,,,,,,53,,,,,
313072,,,,,,6,6,6,25,,,,,
313826,,,,,,,57,,,,,,,
315214,,,,,2,,13,,,,,,,
315672,,,,,,,,,33,,,,,
315748,,,,,,,,,70,,,,,
315794,,,,,,,,,45,,,,,
315922,,,,,77,,,62,62,,,,,
316512,,,25,,,,,,,,,,,
317128,,,,,,,,,,,,,,46
317654,,,,,,,,,67,,,,,
318086,,,,,1,,,,,,,,,
318300,,,,,,,,,80,,,,,
318492,,,,,41,,,,,,,,,
319882,,,,,29,29,,,58,,,,,
320932,,,,,,,27,,,,,,,
321916,,,,,,,,,31,,,,,
322656,,,,,86,,,,85,,,,,
323426,,,,,61,,61,,,,,,,
323630,,,,,,,14,,,,,,,
325098,,,,,82,,28,,13,,,,,
325568,,,,,,,,,1,,,,,
