customer_id,for_month,mrr,last_yr,last_mrr,sig_exp_90,partner_flag,logins,running_experiment_days,utilization,churn_dollars,churned
A1,12/1/2016,1000,,0,1,0,12,0,0,,1
A2,12/1/2016,3000,12/1/2015,3000,1,0,455,0,0,0,1
A3,12/1/2013,0,12/1/2012,4333,0,0,0,0,0,-4333,0
A4,8/1/2013,4000,,0,0,0,0,0,0,,0
A5,12/1/2016,7700,12/1/2015,7700,1,1,5460,0,0,0,1
A6,12/1/2016,1687,12/1/2015,1755,0,0,60,0,0,-68,1
A7,9/1/2015,2333,,0,0,0,0,0,0,,0
A8,12/1/2016,1350,12/1/2015,1350,1,0,600,0,0,0,1
A9,4/1/2013,2400,,0,0,0,0,0,0,,0
A10,12/1/2016,12000,12/1/2015,12000,1,0,231,0,0,0,1
A11,12/1/2016,399,12/1/2015,399,0,0,0,0,0,0,1
A12,10/1/2014,399,10/1/2013,399,0,0,0,0,32731,0,0
A13,12/1/2016,3817,12/1/2015,3817,1,0,552,0,0,0,1
A14,8/1/2015,19,8/1/2014,19,0,0,0,0,0,0,0
A15,12/1/2016,2000,12/1/2015,2000,1,0,65,0,0,0,1
A16,12/1/2015,367,12/1/2014,367,0,0,0,0,0,0,0
A17,5/1/2016,1100,5/1/2015,79,0,0,0,0,0,0,0
A18,3/1/2012,2500,3/1/2011,19,0,0,0,0,0,0,0
A19,9/1/2012,2625,9/1/2011,5250,0,0,0,0,0,-2625,0
A20,12/1/2016,4500,12/1/2015,4500,1,0,1677,0,0,0,1
A21,12/1/2016,1758,12/1/2015,1765,1,1,25,0,0,-7,1
A22,12/1/2016,1500,12/1/2015,1500,0,0,0,0,0,0,1
A23,2/1/2016,2200,2/1/2015,399,1,0,10,186,13728,0,0
A24,12/1/2016,2500,12/1/2015,2500,1,0,616,0,0,0,1
A25,12/1/2016,1001,12/1/2015,1006,0,0,198,0,0,-5,1
A26,12/1/2016,2117,12/1/2015,2187,1,0,576,0,0,-70,1
A27,9/1/2015,2900,9/1/2014,2900,0,0,0,0,0,0,0
A28,12/1/2016,1200,12/1/2015,0,0,0,108,0,0,,1
A29,12/1/2016,399,12/1/2015,399,1,0,220,0,0,0,1
A30,12/1/2016,4915,12/1/2015,4915,1,0,408,0,0,0,1
A31,12/1/2016,3126,12/1/2015,2834,1,0,33,0,0,0,1
A32,12/1/2016,3500,12/1/2015,3500,0,0,0,0,0,0,1
A33,6/1/2011,2000,,0,0,0,0,0,0,,0
A34,12/1/2016,1700,12/1/2015,1700,1,0,120,0,0,0,1
A35,12/1/2016,5209,12/1/2015,5005,1,1,3600,0,0,0,1
A36,1/1/2013,2500,,0,0,0,0,0,0,,0
A37,12/1/2016,3500,12/1/2015,3500,1,0,120,0,0,0,1
A38,12/1/2016,3641,12/1/2015,1731,1,1,840,0,0,0,1
A39,2/1/2012,399,,0,0,0,0,0,0,,0
A40,12/1/2016,1200,12/1/2015,1200,1,0,120,0,0,0,1
A41,12/1/2016,6101,12/1/2015,6522,1,1,572,0,0,-421,1
A42,5/1/2015,19,5/1/2014,19,0,0,0,0,0,0,0
A43,1/1/2014,2500,1/1/2013,2500,0,0,0,0,0,0,0
A44,12/1/2016,5000,12/1/2015,5000,1,0,288,0,0,0,1
A45,11/1/2011,18,,0,0,0,0,0,0,,0
A46,12/1/2016,6000,12/1/2015,6000,1,0,117,0,0,0,1
A47,12/1/2016,5000,12/1/2015,359,1,0,208,0,0,0,1
A48,5/1/2015,2,5/1/2014,19,0,0,0,1,2,-17,0
A49,8/1/2016,3000,8/1/2015,3000,0,0,0,53,38,0,0
A50,12/1/2016,3750,12/1/2015,3500,1,0,405,0,0,0,1
A51,10/1/2016,61,10/1/2015,79,0,0,16,5,4,-18,0
A52,12/1/2016,2751,12/1/2015,71,1,1,810,0,0,0,1
A53,12/1/2016,1000,12/1/2015,1000,1,0,66,0,0,0,1
A54,12/1/2016,1000,12/1/2015,71,0,1,27,0,0,0,1
A55,12/1/2016,2500,12/1/2015,2500,1,0,576,0,0,0,1
A56,12/1/2016,4150,12/1/2015,3750,1,0,546,0,0,0,1
A57,4/1/2014,4000,4/1/2013,4000,0,0,0,0,0,0,0
A58,12/1/2016,2250,12/1/2015,2250,1,0,852,0,0,0,1
A59,11/1/2016,5500,11/1/2015,5500,1,0,962,609,1187050,0,1
A60,3/1/2013,2101,3/1/2012,399,0,0,0,0,0,0,0
A61,12/1/2016,3000,12/1/2015,3000,1,0,312,0,0,0,1
A62,12/1/2016,5040,12/1/2015,4370,0,0,119,0,0,0,1
A63,11/1/2015,2500,11/1/2014,2500,0,1,0,118,0,0,0
A64,12/1/2016,7000,12/1/2015,0,1,0,288,0,0,,1
A65,12/1/2016,79,12/1/2015,79,1,0,48,0,0,0,1
A66,3/1/2014,79,3/1/2013,79,0,0,0,0,0,0,0
A67,6/1/2013,1000,6/1/2012,1000,0,0,0,0,0,0,0
A68,12/1/2016,1418,12/1/2015,359,1,0,132,0,0,0,1
A69,12/1/2016,2000,12/1/2015,2000,0,0,0,0,0,0,1
A70,7/1/2013,20000,7/1/2012,2500,0,0,0,0,0,0,0
A71,8/1/2012,2320,8/1/2011,2250,0,0,0,0,0,0,0
A72,5/1/2016,2200,5/1/2015,2200,1,0,64,279,0,0,0
A73,12/1/2016,2500,12/1/2015,2500,1,0,828,0,0,0,1
A74,12/1/2016,2320,12/1/2015,2320,0,0,216,0,0,0,1
A75,7/1/2014,3013,7/1/2013,0,0,0,0,0,0,,0
A76,12/1/2016,718,12/1/2015,718,0,0,155,0,0,0,1
A77,12/1/2013,4000,12/1/2012,0,0,0,0,0,0,,0
A78,2/1/2015,1700,2/1/2014,1700,0,0,0,0,0,0,0
A79,11/1/2016,133,11/1/2015,1543,1,0,135,827,247299,-1410,1
A80,12/1/2016,3500,12/1/2015,2500,0,0,180,0,0,0,1
A81,4/1/2014,399,4/1/2013,3000,0,0,0,0,0,-2601,0
A82,12/1/2016,1245,12/1/2015,79,0,1,45,0,0,0,1
A83,2/1/2015,9742,2/1/2014,17,0,0,0,0,295390,0,0
A84,8/1/2013,1150,,0,0,0,0,0,0,,0
A85,3/1/2016,8934,,0,0,0,30,629,749948,,0
A86,12/1/2016,2500,12/1/2015,2500,1,0,77,0,0,0,1
A87,1/1/2016,3000,1/1/2015,3000,1,1,0,218,101199,0,0
A88,12/1/2016,2700,12/1/2015,719,1,0,286,0,0,0,1
A89,12/1/2016,4800,12/1/2015,4130,1,0,276,0,0,0,1
A90,7/1/2014,79,7/1/2013,79,0,0,0,0,0,0,0
A91,7/1/2013,5000,7/1/2012,7500,0,0,0,0,0,-2500,0
A92,4/1/2016,3974,4/1/2015,2653,1,0,4,471,226761,0,0
A93,11/1/2012,326,,0,0,0,0,0,0,,0
A94,12/1/2016,1500,12/1/2015,3000,0,0,0,0,0,-1500,1
A95,12/1/2016,1088,12/1/2015,399,1,0,182,0,0,0,1
A96,12/1/2016,2684,12/1/2015,399,1,1,330,0,0,0,1
A97,12/1/2016,5000,12/1/2015,5000,1,0,580,0,0,0,1
A98,12/1/2016,5833,12/1/2015,2500,1,0,136,0,0,0,1
