user_id,date,count_purchases,count_items_viewed
42768,7/2/2016,1,30
42768,7/22/2016,1,8
42768,7/26/2016,2,25
42768,8/10/2016,1,22
42768,9/6/2016,1,15
81932,9/21/2016,1,7
107698,8/3/2016,1,2
125210,9/9/2016,1,9
141430,9/19/2016,1,5
153066,7/28/2016,1,15
153066,8/5/2016,1,8
153066,8/31/2016,2,5
197056,8/4/2016,1,6
197056,8/12/2016,1,3
197056,10/6/2016,1,44
217432,9/27/2016,1,3
230682,7/20/2016,1,12
230682,9/28/2016,1,7
239474,7/17/2016,1,7
239474,7/18/2016,1,18
239474,7/21/2016,1,7
239474,7/22/2016,2,27
239474,7/24/2016,1,9
239474,7/28/2016,1,6
239474,8/12/2016,1,13
239474,8/15/2016,1,18
239474,8/26/2016,1,13
239474,8/29/2016,1,10
239474,10/2/2016,1,16
239474,10/8/2016,1,3
239474,10/9/2016,1,70
247788,9/9/2016,1,3
269336,8/9/2016,1,7
283952,8/9/2016,1,4
283952,8/12/2016,1,35
284464,10/1/2016,1,2
329974,8/26/2016,1,34
362236,9/6/2016,1,18
367540,7/5/2016,1,10
377210,8/9/2016,1,24
461158,9/18/2016,1,2
507324,8/12/2016,1,33
507388,7/2/2016,1,4
542850,7/25/2016,1,7
542850,8/1/2016,1,9
542850,8/14/2016,1,15
542850,8/21/2016,1,29
542850,9/30/2016,1,23
542850,10/1/2016,1,10
544902,7/1/2016,1,45
544902,7/14/2016,2,16
698450,9/16/2016,1,3
733150,9/11/2016,1,12
783442,7/6/2016,1,2
811360,9/22/2016,1,2
833868,9/22/2016,1,27
833868,9/24/2016,1,30
870728,8/23/2016,1,1
942668,9/23/2016,1,6
942668,10/6/2016,1,2
995044,7/5/2016,1,31
995044,8/17/2016,1,4
1001900,8/24/2016,1,4
1002270,7/23/2016,1,7
1026858,7/13/2016,1,10
1026858,7/16/2016,1,10
1096752,8/21/2016,1,11
1096752,9/24/2016,1,13
1096752,9/26/2016,1,24
1126706,7/2/2016,2,19
1126706,8/24/2016,1,2
1126706,10/1/2016,2,5
1205508,9/23/2016,1,27
1221018,7/20/2016,1,20
1225502,7/18/2016,1,28
1256644,7/9/2016,1,21
1256644,8/5/2016,1,12
1256644,9/3/2016,1,16
1256644,9/5/2016,2,12
1256644,9/11/2016,1,23
1270338,8/23/2016,1,7
1320736,7/13/2016,2,24
1320736,7/22/2016,1,5
1326334,8/28/2016,1,17
1451484,8/6/2016,2,19
1474140,7/17/2016,1,6
1474140,7/21/2016,3,24
1474140,8/13/2016,1,16
1474140,9/21/2016,3,21
1535624,10/4/2016,1,3
1561504,7/2/2016,1,5
1561504,7/5/2016,1,17
1561504,7/6/2016,1,4
1561504,7/10/2016,1,12
1561504,7/15/2016,1,9
1561504,9/6/2016,1,9
1595730,9/18/2016,2,46
1619548,7/25/2016,1,137
1656838,8/9/2016,1,2
1656838,10/1/2016,2,29
1684718,7/5/2016,1,37
1720474,7/14/2016,1,23
1720474,7/17/2016,1,68
1729086,10/9/2016,1,20
1769802,9/3/2016,1,26
1769802,9/21/2016,1,4
1816938,9/29/2016,1,22
1827980,7/21/2016,1,2
1851888,7/5/2016,1,3
1874312,7/2/2016,2,17
1897654,8/7/2016,1,51
1964872,9/25/2016,1,6
1979780,8/20/2016,1,7
1981354,7/26/2016,1,14
1981354,8/3/2016,1,17
1981354,9/9/2016,1,8
2023542,9/23/2016,1,4
2064932,8/21/2016,1,7
2064932,9/3/2016,1,4
2064932,9/19/2016,1,13
2107322,7/13/2016,1,3
2107322,8/14/2016,3,9
2107322,8/18/2016,1,27
2118404,7/31/2016,1,19
